"row" "ID" "yr" "cm" "annualprec" "summerpdsi" "wintertemp"
"146" 960 2011 6.3 2.0694 -0.3875 5.13333333333333
"147" 1269 2008 1.8 1.5392 -2.47 4.83333333333333
"148" 1269 2010 2.4 1.4914 -1.5675 2.03333333333333
"149" 1269 2011 2.7 2.0694 -0.3875 5.13333333333333
"150" 700 1998 23.4 1.765 -0.795 5.63333333333333
"151" 700 2002 23.8 1.8056 -1.055 5.4
"152" 700 2004 24 1.8532 -0.795 5.1
"153" 700 2006 24.5 1.4533 -2.0425 5.66666666666667
"154" 700 2008 24.7 1.5392 -2.47 4.83333333333333
"155" 700 2010 25.1 1.4914 -1.5675 2.03333333333333
"156" 700 2011 25.6 2.0694 -0.3875 5.13333333333333
"157" 518 1998 14.3 1.765 -0.795 5.63333333333333
"158" 518 2002 14.6 1.8056 -1.055 5.4
"159" 518 2004 14.7 1.8532 -0.795 5.1
"160" 518 2006 15.3 1.4533 -2.0425 5.66666666666667
"161" 518 2008 15.6 1.5392 -2.47 4.83333333333333
"162" 518 2010 15.7 1.4914 -1.5675 2.03333333333333
"163" 518 2011 16 2.0694 -0.3875 5.13333333333333
"164" 914 1998 19.1 1.765 -0.795 5.63333333333333
"165" 914 2002 19.7 1.8056 -1.055 5.4
"166" 914 2004 21.3 1.8532 -0.795 5.1
"167" 914 2006 21.5 1.4533 -2.0425 5.66666666666667
"168" 914 2008 22.3 1.5392 -2.47 4.83333333333333
"169" 914 2010 23.5 1.4914 -1.5675 2.03333333333333
"170" 914 2011 23.9 2.0694 -0.3875 5.13333333333333
"171" 1111 2007 1.6 1.2303 -2.835 5.86666666666667
"172" 1111 2008 1.6 1.5392 -2.47 4.83333333333333
"173" 1111 2010 1.7 1.4914 -1.5675 2.03333333333333
"174" 1111 2011 1.9 2.0694 -0.3875 5.13333333333333
"175" 910 1998 6.7 1.765 -0.795 5.63333333333333
"176" 910 2002 6.8 1.8056 -1.055 5.4
"177" 910 2004 7.1 1.8532 -0.795 5.1
"178" 910 2006 7.1 1.4533 -2.0425 5.66666666666667
"179" 910 2008 7.4 1.5392 -2.47 4.83333333333333
"180" 910 2010 7.5 1.4914 -1.5675 2.03333333333333
"181" 910 2011 7.5 2.0694 -0.3875 5.13333333333333
"182" 900 1998 8.2 1.765 -0.795 5.63333333333333
"183" 900 2002 8.5 1.8056 -1.055 5.4
"184" 900 2004 8.5 1.8532 -0.795 5.1
"185" 900 2006 8.5 1.4533 -2.0425 5.66666666666667
"186" 900 2008 8.7 1.5392 -2.47 4.83333333333333
"187" 900 2010 9.3 1.4914 -1.5675 2.03333333333333
"188" 900 2011 9.3 2.0694 -0.3875 5.13333333333333
"189" 957 1998 10.5 1.765 -0.795 5.63333333333333
"190" 957 2002 10.6 1.8056 -1.055 5.4
"191" 957 2004 10.8 1.8532 -0.795 5.1
"192" 1272 2008 1.3 1.5392 -2.47 4.83333333333333
"193" 1272 2010 1.5 1.4914 -1.5675 2.03333333333333
"194" 1272 2011 1.5 2.0694 -0.3875 5.13333333333333
"195" 959 1998 18.5 1.765 -0.795 5.63333333333333
"196" 959 2002 19.1 1.8056 -1.055 5.4
"197" 959 2004 19.7 1.8532 -0.795 5.1
"198" 959 2006 20.4 1.4533 -2.0425 5.66666666666667
"199" 959 2008 20.8 1.5392 -2.47 4.83333333333333
"200" 959 2010 21.3 1.4914 -1.5675 2.03333333333333
"201" 959 2011 21.9 2.0694 -0.3875 5.13333333333333
"202" 501 1998 3.1 1.765 -0.795 5.63333333333333
"203" 501 2002 4.8 1.8056 -1.055 5.4
"204" 501 2004 5.7 1.8532 -0.795 5.1
"205" 501 2006 5.8 1.4533 -2.0425 5.66666666666667
"206" 501 2008 6.1 1.5392 -2.47 4.83333333333333
"207" 501 2010 6.8 1.4914 -1.5675 2.03333333333333
"208" 501 2011 7.4 2.0694 -0.3875 5.13333333333333
"209" 1079 2004 14.2 1.8532 -0.795 5.1
"210" 1079 2006 14.9 1.4533 -2.0425 5.66666666666667
"211" 1079 2008 14.9 1.5392 -2.47 4.83333333333333
"212" 1079 2010 15 1.4914 -1.5675 2.03333333333333
"213" 1079 2011 15.6 2.0694 -0.3875 5.13333333333333
"214" 1123 2007 1.5 1.2303 -2.835 5.86666666666667
"215" 1123 2008 1.5 1.5392 -2.47 4.83333333333333
"216" 1123 2010 1.5 1.4914 -1.5675 2.03333333333333
"217" 1123 2011 1.6 2.0694 -0.3875 5.13333333333333
"218" 1135 2007 0.9 1.2303 -2.835 5.86666666666667
"219" 1135 2008 1 1.5392 -2.47 4.83333333333333
"220" 1135 2010 1.2 1.4914 -1.5675 2.03333333333333
"221" 955 1998 17.2 1.765 -0.795 5.63333333333333
"222" 955 2002 17.4 1.8056 -1.055 5.4
"223" 955 2004 17.7 1.8532 -0.795 5.1
"224" 955 2006 17.9 1.4533 -2.0425 5.66666666666667
"225" 955 2008 18.2 1.5392 -2.47 4.83333333333333
"226" 955 2010 18.7 1.4914 -1.5675 2.03333333333333
"227" 955 2011 19 2.0694 -0.3875 5.13333333333333
"228" 643 1998 18.6 1.765 -0.795 5.63333333333333
"229" 643 2002 18.8 1.8056 -1.055 5.4
"230" 643 2004 19.4 1.8532 -0.795 5.1
"231" 643 2006 20 1.4533 -2.0425 5.66666666666667
"232" 643 2008 20.4 1.5392 -2.47 4.83333333333333
"233" 643 2010 20.7 1.4914 -1.5675 2.03333333333333
"234" 643 2011 21.1 2.0694 -0.3875 5.13333333333333
"235" 699 1998 2.3 1.765 -0.795 5.63333333333333
"236" 699 2002 2.4 1.8056 -1.055 5.4
"237" 699 2004 2.4 1.8532 -0.795 5.1
"238" 699 2006 2.4 1.4533 -2.0425 5.66666666666667
"239" 699 2008 2.3 1.5392 -2.47 4.83333333333333
"240" 699 2010 2.1 1.4914 -1.5675 2.03333333333333
"241" 734 1998 6.3 1.765 -0.795 5.63333333333333
"242" 734 2002 6.9 1.8056 -1.055 5.4
"243" 734 2004 7.4 1.8532 -0.795 5.1
"244" 734 2006 7.7 1.4533 -2.0425 5.66666666666667
"245" 734 2008 8.2 1.5392 -2.47 4.83333333333333
"246" 734 2010 8.6 1.4914 -1.5675 2.03333333333333
"247" 734 2011 9 2.0694 -0.3875 5.13333333333333
"248" 897 1998 4.7 1.765 -0.795 5.63333333333333
"249" 897 2002 4.8 1.8056 -1.055 5.4
"250" 897 2004 5.4 1.8532 -0.795 5.1
"251" 897 2006 5.7 1.4533 -2.0425 5.66666666666667
"252" 897 2008 6.2 1.5392 -2.47 4.83333333333333
"253" 897 2010 6.3 1.4914 -1.5675 2.03333333333333
"254" 897 2011 6.5 2.0694 -0.3875 5.13333333333333
"255" 642 1998 16.2 1.765 -0.795 5.63333333333333
"256" 642 2002 16.2 1.8056 -1.055 5.4
"257" 642 2004 16.5 1.8532 -0.795 5.1
"258" 642 2006 16.5 1.4533 -2.0425 5.66666666666667
"259" 642 2008 16.7 1.5392 -2.47 4.83333333333333
"260" 642 2010 16.9 1.4914 -1.5675 2.03333333333333
"261" 642 2011 17.3 2.0694 -0.3875 5.13333333333333
"262" 1119 2007 2.1 1.2303 -2.835 5.86666666666667
"263" 1119 2008 2.2 1.5392 -2.47 4.83333333333333
"264" 1119 2010 3.4 1.4914 -1.5675 2.03333333333333
"265" 1119 2011 4.1 2.0694 -0.3875 5.13333333333333
"266" 1124 2007 0.8 1.2303 -2.835 5.86666666666667
"267" 1124 2008 0.9 1.5392 -2.47 4.83333333333333
"268" 1124 2010 0.9 1.4914 -1.5675 2.03333333333333
"269" 1124 2011 1 2.0694 -0.3875 5.13333333333333
"270" 633 1998 11 1.765 -0.795 5.63333333333333
"271" 633 2002 11.3 1.8056 -1.055 5.4
"272" 633 2004 11 1.8532 -0.795 5.1
"273" 452 1998 38.4 1.765 -0.795 5.63333333333333
"274" 452 2002 39.7 1.8056 -1.055 5.4
"275" 452 2004 39.6 1.8532 -0.795 5.1
"276" 452 2006 39.5 1.4533 -2.0425 5.66666666666667
"277" 452 2008 39.9 1.5392 -2.47 4.83333333333333
"278" 452 2010 40.7 1.4914 -1.5675 2.03333333333333
"279" 452 2011 41.8 2.0694 -0.3875 5.13333333333333
"280" 916 1998 3 1.765 -0.795 5.63333333333333
"281" 916 2002 4.3 1.8056 -1.055 5.4
"282" 916 2004 5.4 1.8532 -0.795 5.1
"283" 916 2006 6.2 1.4533 -2.0425 5.66666666666667
"284" 916 2008 7.1 1.5392 -2.47 4.83333333333333
"285" 916 2010 8 1.4914 -1.5675 2.03333333333333
"286" 916 2011 8.5 2.0694 -0.3875 5.13333333333333
"287" 974 1998 2.4 1.765 -0.795 5.63333333333333
"288" 974 2002 2.4 1.8056 -1.055 5.4
"289" 974 2004 2.5 1.8532 -0.795 5.1
"290" 974 2006 2.5 1.4533 -2.0425 5.66666666666667
"291" 974 2008 2.5 1.5392 -2.47 4.83333333333333
"292" 974 2010 2.5 1.4914 -1.5675 2.03333333333333
"293" 974 2011 2.5 2.0694 -0.3875 5.13333333333333
"294" 277 1998 14.4 1.765 -0.795 5.63333333333333
"295" 277 2002 16.6 1.8056 -1.055 5.4
"296" 277 2004 18.9 1.8532 -0.795 5.1
"297" 277 2006 20.7 1.4533 -2.0425 5.66666666666667
"298" 277 2008 21.7 1.5392 -2.47 4.83333333333333
"299" 277 2010 22 1.4914 -1.5675 2.03333333333333
"300" 287 1998 7.6 1.765 -0.795 5.63333333333333
"301" 287 2002 9.2 1.8056 -1.055 5.4
"302" 287 2004 10.3 1.8532 -0.795 5.1
"303" 287 2006 11.3 1.4533 -2.0425 5.66666666666667
"304" 287 2008 12 1.5392 -2.47 4.83333333333333
"305" 287 2010 12.4 1.4914 -1.5675 2.03333333333333
"306" 287 2011 12.1 2.0694 -0.3875 5.13333333333333
"307" 972 1998 23.4 1.765 -0.795 5.63333333333333
"308" 972 2002 23.6 1.8056 -1.055 5.4
"309" 972 2004 24.3 1.8532 -0.795 5.1
"310" 972 2006 25 1.4533 -2.0425 5.66666666666667
"311" 972 2008 25.7 1.5392 -2.47 4.83333333333333
"312" 972 2010 26.3 1.4914 -1.5675 2.03333333333333
"313" 972 2011 26.8 2.0694 -0.3875 5.13333333333333
"314" 694 1998 9.6 1.765 -0.795 5.63333333333333
"315" 694 2002 9.7 1.8056 -1.055 5.4
"316" 694 2004 9.7 1.8532 -0.795 5.1
"317" 694 2006 9.9 1.4533 -2.0425 5.66666666666667
"318" 694 2008 9.9 1.5392 -2.47 4.83333333333333
"319" 694 2010 9.6 1.4914 -1.5675 2.03333333333333
"320" 694 2011 9.6 2.0694 -0.3875 5.13333333333333
"321" 1125 2007 1.2 1.2303 -2.835 5.86666666666667
"322" 1125 2008 1.3 1.5392 -2.47 4.83333333333333
"323" 1125 2010 2.1 1.4914 -1.5675 2.03333333333333
"324" 1125 2011 2.4 2.0694 -0.3875 5.13333333333333
"325" 1126 2007 0.8 1.2303 -2.835 5.86666666666667
"326" 1126 2008 0.8 1.5392 -2.47 4.83333333333333
"327" 1126 2010 1.1 1.4914 -1.5675 2.03333333333333
"328" 1126 2011 1 2.0694 -0.3875 5.13333333333333
"329" 1131 2007 1.6 1.2303 -2.835 5.86666666666667
"330" 1131 2008 1.7 1.5392 -2.47 4.83333333333333
"331" 1131 2010 1.9 1.4914 -1.5675 2.03333333333333
"332" 1131 2011 2 2.0694 -0.3875 5.13333333333333
"333" 698 1998 13 1.765 -0.795 5.63333333333333
"334" 698 2002 13.6 1.8056 -1.055 5.4
"335" 698 2004 13.8 1.8532 -0.795 5.1
"336" 698 2006 13.9 1.4533 -2.0425 5.66666666666667
"337" 698 2008 14.1 1.5392 -2.47 4.83333333333333
"338" 698 2010 14.6 1.4914 -1.5675 2.03333333333333
"339" 698 2011 15.1 2.0694 -0.3875 5.13333333333333
"340" 697 1998 3.6 1.765 -0.795 5.63333333333333
"341" 697 2002 3.8 1.8056 -1.055 5.4
"342" 697 2004 3.4 1.8532 -0.795 5.1
"343" 1112 2007 0.7 1.2303 -2.835 5.86666666666667
"344" 1112 2008 0.8 1.5392 -2.47 4.83333333333333
"345" 1112 2010 1 1.4914 -1.5675 2.03333333333333
"346" 1112 2011 0.8 2.0694 -0.3875 5.13333333333333
"347" 696 1998 3.7 1.765 -0.795 5.63333333333333
"348" 696 2002 3.9 1.8056 -1.055 5.4
"349" 696 2004 3.6 1.8532 -0.795 5.1
"350" 731 1998 8.7 1.765 -0.795 5.63333333333333
"351" 731 2002 8.9 1.8056 -1.055 5.4
"352" 731 2004 8.7 1.8532 -0.795 5.1
"353" 731 2006 8.7 1.4533 -2.0425 5.66666666666667
"354" 731 2008 8.8 1.5392 -2.47 4.83333333333333
"355" 731 2010 9.1 1.4914 -1.5675 2.03333333333333
"356" 731 2011 9.1 2.0694 -0.3875 5.13333333333333
"357" 919 1998 12.7 1.765 -0.795 5.63333333333333
"358" 919 2002 13.1 1.8056 -1.055 5.4
"359" 919 2004 13.1 1.8532 -0.795 5.1
"360" 919 2006 13.2 1.4533 -2.0425 5.66666666666667
"361" 919 2008 13.6 1.5392 -2.47 4.83333333333333
"362" 919 2010 13.8 1.4914 -1.5675 2.03333333333333
"363" 919 2011 14.2 2.0694 -0.3875 5.13333333333333
"364" 1130 2007 0.7 1.2303 -2.835 5.86666666666667
"365" 1130 2008 0.7 1.5392 -2.47 4.83333333333333
"366" 1133 2007 1.5 1.2303 -2.835 5.86666666666667
"367" 1133 2008 1.4 1.5392 -2.47 4.83333333333333
"368" 1133 2010 1.5 1.4914 -1.5675 2.03333333333333
"369" 1133 2011 1.2 2.0694 -0.3875 5.13333333333333
"370" 1365 2010 1.9 1.4914 -1.5675 2.03333333333333
"371" 1365 2011 1.7 2.0694 -0.3875 5.13333333333333
"372" 736 1998 24.1 1.765 -0.795 5.63333333333333
"373" 736 2002 23.8 1.8056 -1.055 5.4
"374" 736 2004 23.7 1.8532 -0.795 5.1
"375" 736 2006 23.7 1.4533 -2.0425 5.66666666666667
"376" 736 2008 23.6 1.5392 -2.47 4.83333333333333
"377" 736 2010 23.7 1.4914 -1.5675 2.03333333333333
"378" 736 2011 23.8 2.0694 -0.3875 5.13333333333333
"379" 740 1998 10.3 1.765 -0.795 5.63333333333333
"380" 740 2002 10 1.8056 -1.055 5.4
"381" 709 2002 1.1 1.8056 -1.055 5.4
"382" 709 2004 1.2 1.8532 -0.795 5.1
"383" 709 2006 1.3 1.4533 -2.0425 5.66666666666667
"384" 741 2002 1.1 1.8056 -1.055 5.4
"385" 741 2004 2.3 1.8532 -0.795 5.1
"386" 741 2006 2.5 1.4533 -2.0425 5.66666666666667
"387" 741 2007 2.6 1.2303 -2.835 5.86666666666667
"388" 741 2008 2.6 1.5392 -2.47 4.83333333333333
"389" 741 2010 2.7 1.4914 -1.5675 2.03333333333333
"390" 741 2011 2.7 2.0694 -0.3875 5.13333333333333
"391" 895 1998 1.1 1.765 -0.795 5.63333333333333
"392" 895 2002 1.5 1.8056 -1.055 5.4
"393" 895 2004 1.7 1.8532 -0.795 5.1
"394" 895 2006 1.7 1.4533 -2.0425 5.66666666666667
"395" 895 2008 1.8 1.5392 -2.47 4.83333333333333
"396" 895 2010 1.8 1.4914 -1.5675 2.03333333333333
"397" 895 2011 1.9 2.0694 -0.3875 5.13333333333333
"398" 964 1998 3.3 1.765 -0.795 5.63333333333333
"399" 964 2002 3.3 1.8056 -1.055 5.4
"400" 964 2004 3.3 1.8532 -0.795 5.1
"401" 964 2006 3.3 1.4533 -2.0425 5.66666666666667
"402" 964 2008 3.3 1.5392 -2.47 4.83333333333333
"403" 964 2010 3.5 1.4914 -1.5675 2.03333333333333
"404" 964 2011 3.3 2.0694 -0.3875 5.13333333333333
"405" 944 1998 2.3 1.765 -0.795 5.63333333333333
"406" 944 2002 2.7 1.8056 -1.055 5.4
"407" 944 2004 3 1.8532 -0.795 5.1
"408" 944 2006 3.4 1.4533 -2.0425 5.66666666666667
"409" 944 2008 4 1.5392 -2.47 4.83333333333333
"410" 944 2010 4 1.4914 -1.5675 2.03333333333333
"411" 944 2011 4 2.0694 -0.3875 5.13333333333333
"412" 739 1998 2.2 1.765 -0.795 5.63333333333333
"413" 739 2002 2.2 1.8056 -1.055 5.4
"414" 739 2004 2.8 1.8532 -0.795 5.1
"415" 739 2006 2.9 1.4533 -2.0425 5.66666666666667
"416" 739 2008 3.2 1.5392 -2.47 4.83333333333333
"417" 739 2010 3.4 1.4914 -1.5675 2.03333333333333
"418" 739 2011 3.5 2.0694 -0.3875 5.13333333333333
"419" 737 1998 1.3 1.765 -0.795 5.63333333333333
"420" 737 2002 1.5 1.8056 -1.055 5.4
"421" 737 2004 2.3 1.8532 -0.795 5.1
"422" 737 2006 2.3 1.4533 -2.0425 5.66666666666667
"423" 737 2008 2 1.5392 -2.47 4.83333333333333
"424" 737 2010 2.5 1.4914 -1.5675 2.03333333333333
"425" 737 2011 2.5 2.0694 -0.3875 5.13333333333333
"426" 695 1998 26.8 1.765 -0.795 5.63333333333333
"427" 695 2002 27.4 1.8056 -1.055 5.4
"428" 695 2004 27.5 1.8532 -0.795 5.1
"429" 695 2006 27.6 1.4533 -2.0425 5.66666666666667
"430" 695 2008 28 1.5392 -2.47 4.83333333333333
"431" 695 2010 28.8 1.4914 -1.5675 2.03333333333333
"432" 695 2011 29.1 2.0694 -0.3875 5.13333333333333
"433" 1078 2004 8.4 1.8532 -0.795 5.1
"434" 1078 2006 8.4 1.4533 -2.0425 5.66666666666667
"435" 1078 2008 8.5 1.5392 -2.47 4.83333333333333
"436" 1078 2010 8.5 1.4914 -1.5675 2.03333333333333
"437" 1078 2011 8.4 2.0694 -0.3875 5.13333333333333
"438" 893 1998 4.7 1.765 -0.795 5.63333333333333
"439" 893 2002 4.6 1.8056 -1.055 5.4
"440" 893 2004 4.7 1.8532 -0.795 5.1
"441" 893 2006 4.9 1.4533 -2.0425 5.66666666666667
"442" 893 2008 5 1.5392 -2.47 4.83333333333333
"443" 893 2010 5.9 1.4914 -1.5675 2.03333333333333
"444" 893 2011 6 2.0694 -0.3875 5.13333333333333
"445" 500 1998 6.4 1.765 -0.795 5.63333333333333
"446" 500 2002 6.5 1.8056 -1.055 5.4
"447" 500 2004 6.5 1.8532 -0.795 5.1
"448" 500 2006 6.5 1.4533 -2.0425 5.66666666666667
"449" 500 2008 6.5 1.5392 -2.47 4.83333333333333
"450" 500 2010 6.3 1.4914 -1.5675 2.03333333333333
"451" 500 2011 6.1 2.0694 -0.3875 5.13333333333333
"452" 1113 2007 1.2 1.2303 -2.835 5.86666666666667
"453" 1113 2008 1.3 1.5392 -2.47 4.83333333333333
"454" 1113 2010 1.3 1.4914 -1.5675 2.03333333333333
"455" 1113 2011 1.3 2.0694 -0.3875 5.13333333333333
"456" 631 1998 17.5 1.765 -0.795 5.63333333333333
"457" 631 2002 17.6 1.8056 -1.055 5.4
"458" 631 2004 17.9 1.8532 -0.795 5.1
"459" 631 2006 18.1 1.4533 -2.0425 5.66666666666667
"460" 631 2008 18.4 1.5392 -2.47 4.83333333333333
